;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
Indonesia;Bangladesh;12;548;1,1;17468;11,23;103;11,65;171;7,02;
Indonesia;Bosnia and Herzegowina;1;548;1,1;1563;1,01;103;0,97;800;0,13;
Indonesia;Brazil;1;548;1,1;4834;3,11;103;0,97;2612;0,04;
Indonesia;Bulgaria;4;548;1,1;9387;6,04;103;3,88;4695;0,09;
Indonesia;Canada;32;548;1,1;25485;16,39;103;31,07;14440;0,22;
Indonesia;China;10;548;1,1;7801;5,02;103;9,71;3871;0,26;
Indonesia;Croatia;2;548;1,1;2778;1,79;103;1,94;1364;0,15;
Indonesia;Czech Republic;1;548;1,1;1181;0,76;103;0,97;692;0,14;
Indonesia;Egypt;15;548;1,1;17182;11,05;103;14,56;8809;0,17;
Indonesia;France;1;548;1,1;3513;2,26;103;0,97;1601;0,06;
Indonesia;Germany ;1;548;1,1;7974;5,13;103;0,97;3700;0,03;
Indonesia;Greece;1;548;1,1;1848;1,19;103;0,97;844;0,12;
Indonesia;India;103;548;1,1;155501;100;103;100;80388;0,13;
Indonesia;Indonesia;16;548;1,1;7742;4,98;103;15,53;4116;0,39;
Indonesia;Ireland;1;548;1,1;925;0,59;103;0,97;477;0,21;
Indonesia;Israel;1;548;1,1;3125;2,01;103;0,97;1688;0,06;
Indonesia;Kenya;2;548;1,1;1637;1,05;103;1,94;818;0,24;
Indonesia;Lithuania;3;548;1,1;1867;1,2;103;2,91;958;0,31;
Indonesia;Malaysia;2;548;1,1;3160;2,03;103;1,94;1760;0,11;
Indonesia;Malta;1;548;1,1;393;0,25;103;0,97;190;0,53;
Indonesia;Mexico;1;548;1,1;3465;2,23;103;0,97;1732;0,06;
Indonesia;Morocco;2;548;1,1;1112;0,72;103;1,94;517;0,39;
Indonesia;Netherlands;3;548;1,1;3487;2,24;103;2,91;1579;0,19;
Indonesia;Pakistan;60;548;1,1;72899;46,88;103;58,25;36757;0,16;
Indonesia;Philippines;18;548;1,1;13478;8,67;103;17,48;7059;0,25;
Indonesia;Poland;1;548;1,1;7145;4,59;103;0,97;3520;0,03;
Indonesia;Portugal;3;548;1,1;2963;1,91;103;2,91;1682;0,18;
Indonesia;Romania;75;548;1,1;92390;59,41;103;72,82;48482;0,15;
Indonesia;Russian Federation;11;548;1,1;28357;18,24;103;10,68;14718;0,07;
Indonesia;Serbia;6;548;1,1;10957;7,05;103;5,83;5747;0,1;
Indonesia;Singapore;1;548;1,1;2154;1,39;103;0,97;1182;0,08;
Indonesia;South Africa;8;548;1,1;2355;1,51;103;7,77;1027;0,78;
Indonesia;Spain;2;548;1,1;4028;2,59;103;1,94;1948;0,1;
Indonesia;Sri Lanka;5;548;1,1;6306;4,06;103;4,85;203;2,46;
Indonesia;Sweden;3;548;1,1;3060;1,97;103;2,91;1414;0,21;
Indonesia;Trinidad and Tobago;1;548;1,1;43;0,03;103;0,97;17;5,88;
Indonesia;Turkey;3;548;1,1;4827;3,1;103;2,91;2421;0,12;
Indonesia;Ukraine;12;548;1,1;27775;17,86;103;11,65;13875;0,09;
Indonesia;United Kingdom;36;548;1,1;29927;19,25;103;34,95;14558;0,25;
Indonesia;United States;55;548;1,1;105420;67,79;103;53,4;64074;0,09;
Indonesia;Vietnam;18;548;1,1;9827;6,32;103;17,48;4529;0,4;
Iran;Armenia;1;139;0,3;1985;1,28;112;0,89;1066;0,09;
Iran;Canada;1;139;0,3;25485;16,39;112;0,89;14440;0,01;
Iran;Egypt;2;139;0,3;17182;11,05;112;1,79;8809;0,02;
Iran;Germany ;1;139;0,3;7974;5,13;112;0,89;3700;0,03;
Iran;India;6;139;0,3;155501;100;112;5,36;80388;0,01;
Iran;Italy;1;139;0,3;3404;2,19;112;0,89;1452;0,07;
Iran;Kazakhstan;3;139;0,3;253;0,16;112;2,68;147;2,04;
Iran;Pakistan;1;139;0,3;72899;46,88;112;0,89;36757;0;
Iran;Poland;10;139;0,3;7145;4,59;112;8,93;3520;0,28;
Iran;Romania;1;139;0,3;92390;59,41;112;0,89;48482;0;
Iran;Ukraine;112;139;0,3;27775;17,86;112;100;13875;0,81;
Iraq ;India;1;3;0;155501;100;1;100;80388;0;
Iraq ;United Kingdom;1;3;0;29927;19,25;1;100;14558;0,01;
Iraq ;United States;1;3;0;105420;67,79;1;100;64074;0;
Ireland;;6;6374;13;0;0;1318;0,46;1527;0,39;
Ireland;Algeria;8;6374;13;202;0,13;1318;0,61;89;8,99;
Ireland;Argentina;96;6374;13;12720;8,18;1318;7,28;6839;1,4;
Ireland;Armenia;14;6374;13;1985;1,28;1318;1,06;1066;1,31;
Ireland;Australia;63;6374;13;9761;6,28;1318;4,78;5051;1,25;
Ireland;Austria;2;6374;13;602;0,39;1318;0,15;279;0,72;
Ireland;Azerbaijan;4;6374;13;823;0,53;1318;0,3;493;0,81;
Ireland;Bangladesh;237;6374;13;17468;11,23;1318;17,98;8416;2,82;
Ireland;Belarus ;26;6374;13;3044;1,96;1318;1,97;1391;1,87;
Ireland;Belgium ;16;6374;13;1653;1,06;1318;1,21;853;1,88;
Ireland;Bosnia and Herzegowina;13;6374;13;1563;1,01;1318;0,99;800;1,63;
Ireland;Brazil;47;6374;13;4834;3,11;1318;3,57;2612;1,8;
Ireland;Bulgaria;55;6374;13;9387;6,04;1318;4,17;102;53,92;
Ireland;Canada;223;6374;13;25485;16,39;1318;16,92;8500;2,62;
Ireland;Cayman Islands;2;6374;13;21;0,01;1318;0,15;7;28,57;
Ireland;Chile;2;6374;13;493;0,32;1318;0,15;293;0,68;
Ireland;China;41;6374;13;7801;5,02;1318;3,11;3871;1,06;
Ireland;Colombia;10;6374;13;889;0,57;1318;0,76;524;1,91;
Ireland;Costa Rica;3;6374;13;180;0,12;1318;0,23;106;2,83;
Ireland;Cote d'Ivoire (Ivory Coast);2;6374;13;12;0,01;1318;0,15;3;66,67;
Ireland;Croatia;16;6374;13;2778;1,79;1318;1,21;1364;1,17;
Ireland;Czech Republic;3;6374;13;1181;0,76;1318;0,23;692;0,43;
Ireland;Denmark;1;6374;13;702;0,45;1318;0,08;329;0,3;
Ireland;Dominican Republic;2;6374;13;752;0,48;1318;0,15;412;0,49;
Ireland;Ecuador;10;6374;13;790;0,51;1318;0,76;459;2,18;
Ireland;Egypt;132;6374;13;17182;11,05;1318;10,02;8809;1,5;
Ireland;Estonia;9;6374;13;800;0,51;1318;0,68;438;2,05;
Ireland;Fiji;1;6374;13;228;0,15;1318;0,08;94;1,06;
Ireland;Finland;4;6374;13;808;0,52;1318;0,3;318;1,26;
Ireland;Former Yugoslav Republic Of Macedonia;5;6374;13;1198;0,77;1318;0,38;624;0,8;
Ireland;France;21;6374;13;3513;2,26;1318;1,59;1601;1,31;
Ireland;Georgia;1;6374;13;503;0,32;1318;0,08;258;0,39;
Ireland;Germany ;69;6374;13;7974;5,13;1318;5,24;3700;1,86;
Ireland;Ghana;1;6374;13;95;0,06;1318;0,08;53;1,89;
Ireland;Gibraltar;1;6374;13;61;0,04;1318;0,08;17;5,88;
Ireland;Greece;15;6374;13;1848;1,19;1318;1,14;844;1,78;
Ireland;Guatemala;6;6374;13;187;0,12;1318;0,46;95;6,32;
Ireland;Honduras;1;6374;13;89;0,06;1318;0,08;46;2,17;
Ireland;Hong Kong;2;6374;13;671;0,43;1318;0,15;418;0,48;
Ireland;Hungary;5;6374;13;1694;1,09;1318;0,38;775;0,65;
Ireland;India;1318;6374;13;155501;100;1318;100;80388;1,64;
Ireland;Indonesia;43;6374;13;7742;4,98;1318;3,26;4116;1,04;
Ireland;Ireland;15;6374;13;925;0,59;1318;1,14;477;3,14;
Ireland;Israel;54;6374;13;3125;2,01;1318;4,1;1688;3,2;
Ireland;Italy;24;6374;13;3404;2,19;1318;1,82;1452;1,65;
Ireland;Jamaica;1;6374;13;233;0,15;1318;0,08;107;0,93;
Ireland;Japan;4;6374;13;705;0,45;1318;0,3;199;2,01;
Ireland;Jordan;9;6374;13;864;0,56;1318;0,68;123;7,32;
Ireland;Kazakhstan;3;6374;13;253;0,16;1318;0,23;147;2,04;
Ireland;Kenya;10;6374;13;1637;1,05;1318;0,76;818;1,22;
Ireland;Korea;1;6374;13;127;0,08;1318;0,08;59;1,69;
Ireland;Kuwait;1;6374;13;45;0,03;1318;0,08;15;6,67;
Ireland;Kyrgyzstan;17;6374;13;1521;0,98;1318;1,29;821;2,07;
Ireland;Latvia;7;6374;13;655;0,42;1318;0,53;255;2,75;
Ireland;Lebanon;15;6374;13;1029;0,66;1318;1,14;544;2,76;
Ireland;Lithuania;23;6374;13;1867;1,2;1318;1,75;958;2,4;
Ireland;Malaysia;18;6374;13;3160;2,03;1318;1,37;1760;1,02;
Ireland;Malta;4;6374;13;393;0,25;1318;0,3;190;2,11;
Ireland;Mexico;14;6374;13;3465;2,23;1318;1,06;1732;0,81;
Ireland;Moldova;20;6374;13;3146;2,02;1318;1,52;1541;1,3;
Ireland;Mongolia;3;6374;13;331;0,21;1318;0,23;169;1,78;
Ireland;Morocco;5;6374;13;1112;0,72;1318;0,38;517;0,97;
Ireland;Myanmar;1;6374;13;118;0,08;1318;0,08;56;1,79;
Ireland;Nepal;18;6374;13;1861;1,2;1318;1,37;1018;1,77;
Ireland;Netherlands;13;6374;13;3487;2,24;1318;0,99;1579;0,82;
Ireland;New Zealand;8;6374;13;1482;0,95;1318;0,61;827;0,97;
Ireland;Nicaragua;1;6374;13;33;0,02;1318;0,08;10;10;
Ireland;Nigeria;5;6374;13;909;0,58;1318;0,38;444;1,13;
Ireland;Norway;11;6374;13;779;0,5;1318;0,83;348;3,16;
Ireland;Oman;3;6374;13;306;0,2;1318;0,23;125;2,4;
Ireland;Pakistan;578;6374;13;72899;46,88;1318;43,85;36757;1,57;
Ireland;Palestine;7;6374;13;206;0,13;1318;0,53;104;6,73;
Ireland;Panama;1;6374;13;47;0,03;1318;0,08;28;3,57;
Ireland;Peru;6;6374;13;919;0,59;1318;0,46;498;1,2;
Ireland;Philippines;108;6374;13;13478;8,67;1318;8,19;7059;1,53;
Ireland;Poland;63;6374;13;7145;4,59;1318;4,78;3520;1,79;
Ireland;Portugal;24;6374;13;2963;1,91;1318;1,82;1682;1,43;
Ireland;Puerto Rico;4;6374;13;56;0,04;1318;0,3;31;12,9;
Ireland;Romania;799;6374;13;92390;59,41;1318;60,62;48482;1,65;
Ireland;Russian Federation;164;6374;13;28357;18,24;1318;12,44;14718;1,11;
Ireland;Saint Vincent and the Grenadines;1;6374;13;81;0,05;1318;0,08;2;50;
Ireland;Saudi Arabia;2;6374;13;645;0,41;1318;0,15;275;0,73;
Ireland;Serbia;90;6374;13;10957;7,05;1318;6,83;5747;1,57;
Ireland;Serbia + Montenegro (old);4;6374;13;699;0,45;1318;0,3;393;1,02;
Ireland;Singapore;28;6374;13;2154;1,39;1318;2,12;1182;2,37;
Ireland;Slovakia;3;6374;13;631;0,41;1318;0,23;306;0,98;
Ireland;South Africa;33;6374;13;2355;1,51;1318;2,5;1027;3,21;
Ireland;Spain;15;6374;13;4028;2,59;1318;1,14;1948;0,77;
Ireland;Sri Lanka;64;6374;13;6306;4,06;1318;4,86;2884;2,22;
Ireland;Sweden;13;6374;13;3060;1,97;1318;0,99;1468;0,89;
Ireland;Switzerland;5;6374;13;736;0,47;1318;0,38;333;1,5;
Ireland;Syrian Arab Republic;11;6374;13;360;0,23;1318;0,83;137;8,03;
Ireland;Thailand;11;6374;13;1454;0,94;1318;0,83;717;1,53;
Ireland;Tunisia;6;6374;13;1968;1,27;1318;0,46;825;0,73;
Ireland;Turkey;43;6374;13;4827;3,1;1318;3,26;2421;1,78;
Ireland;Ukraine;196;6374;13;27775;17,86;1318;14,87;13875;1,41;
Ireland;United Arab Emirates;15;6374;13;2335;1,5;1318;1,14;1226;1,22;
Ireland;United Kingdom;335;6374;13;29927;19,25;1318;25,42;14558;2,3;
Ireland;United States;804;6374;13;105420;67,79;1318;61;64074;1,25;
Ireland;Uruguay;10;6374;13;1500;0,96;1318;0,76;923;1,08;
Ireland;Uzbekistan;1;6374;13;393;0,25;1318;0,08;208;0,48;
Ireland;Venezuela;2;6374;13;613;0,39;1318;0,15;382;0,52;
Ireland;Vietnam;84;6374;13;9827;6,32;1318;6,37;4529;1,85;
Israel;;37;8967;18,2;0;0;1470;2,52;1527;2,42;
Israel;Afghanistan;1;8967;18,2;41;0,03;1470;0,07;16;6,25;
Israel;Albania ;2;8967;18,2;68;0,04;1470;0,14;37;5,41;
Israel;Algeria;4;8967;18,2;202;0,13;1470;0,27;89;4,49;
Israel;Argentina;100;8967;18,2;12720;8,18;1470;6,8;6839;1,46;
Israel;Armenia;27;8967;18,2;1985;1,28;1470;1,84;1066;2,53;
Israel;Australia;79;8967;18,2;9761;6,28;1470;5,37;5051;1,56;
Israel;Austria;6;8967;18,2;602;0,39;1470;0,41;279;2,15;
Israel;Azerbaijan;11;8967;18,2;823;0,53;1470;0,75;493;2,23;
Israel;Bangladesh;239;8967;18,2;17468;11,23;1470;16,26;8416;2,84;
Israel;Belarus ;37;8967;18,2;3044;1,96;1470;2,52;1391;2,66;
Israel;Belgium ;35;8967;18,2;1653;1,06;1470;2,38;842;4,16;
Israel;Bosnia and Herzegowina;18;8967;18,2;1563;1,01;1470;1,22;82;21,95;
Israel;Brazil;54;8967;18,2;4834;3,11;1470;3,67;2612;2,07;
Israel;Bulgaria;114;8967;18,2;9387;6,04;1470;7,76;4695;2,43;
Israel;Cambodia ;1;8967;18,2;189;0,12;1470;0,07;91;1,1;
Israel;Cameroon ;2;8967;18,2;115;0,07;1470;0,14;46;4,35;
Israel;Canada;220;8967;18,2;25485;16,39;1470;14,97;14440;1,52;
Israel;Cayman Islands;1;8967;18,2;21;0,01;1470;0,07;7;14,29;
Israel;Chile;2;8967;18,2;493;0,32;1470;0,14;293;0,68;
Israel;China;110;8967;18,2;7801;5,02;1470;7,48;3871;2,84;
Israel;Colombia;10;8967;18,2;889;0,57;1470;0,68;524;1,91;
Israel;Costa Rica;5;8967;18,2;180;0,12;1470;0,34;106;4,72;
Israel;Croatia;31;8967;18,2;2778;1,79;1470;2,11;1364;2,27;
Israel;Czech Republic;17;8967;18,2;1181;0,76;1470;1,16;692;2,46;
Israel;Denmark;23;8967;18,2;702;0,45;1470;1,56;329;6,99;
Israel;Dominican Republic;12;8967;18,2;752;0,48;1470;0,82;412;2,91;
Israel;Ecuador;7;8967;18,2;790;0,51;1470;0,48;459;1,53;
Israel;Egypt;131;8967;18,2;17182;11,05;1470;8,91;8809;1,49;
Israel;El Salvador;1;8967;18,2;260;0,17;1470;0,07;155;0,65;
Israel;Estonia;24;8967;18,2;800;0,51;1470;1,63;438;5,48;
Israel;Ethiopia;1;8967;18,2;84;0,05;1470;0,07;48;2,08;
Israel;Finland;46;8967;18,2;808;0,52;1470;3,13;318;14,47;
Israel;Former Yugoslav Republic Of Macedonia;12;8967;18,2;1198;0,77;1470;0,82;624;1,92;
Israel;France;66;8967;18,2;3513;2,26;1470;4,49;1601;4,12;
Israel;Georgia;22;8967;18,2;503;0,32;1470;1,5;258;8,53;
Israel;Germany ;128;8967;18,2;7974;5,13;1470;8,71;3700;3,46;
Israel;Ghana;1;8967;18,2;95;0,06;1470;0,07;53;1,89;
Israel;Gibraltar;2;8967;18,2;61;0,04;1470;0,14;17;11,76;
Israel;Greece;26;8967;18,2;1848;1,19;1470;1,77;844;3,08;
Israel;Guatemala;2;8967;18,2;187;0,12;1470;0,14;95;2,11;
Israel;Honduras;1;8967;18,2;89;0,06;1470;0,07;46;2,17;
Israel;Hong Kong;6;8967;18,2;671;0,43;1470;0,41;418;1,44;
Israel;Hungary;20;8967;18,2;1694;1,09;1470;1,36;775;2,58;
Israel;Iceland;10;8967;18,2;66;0,04;1470;0,68;33;30,3;
Israel;India;1470;8967;18,2;155501;100;1470;100;4603;31,94;
Israel;Indonesia;63;8967;18,2;7742;4,98;1470;4,29;103;61,17;
Israel;Ireland;10;8967;18,2;925;0,59;1470;0,68;477;2,1;
Israel;Israel;85;8967;18,2;3125;2,01;1470;5,78;1688;5,04;
Israel;Italy;86;8967;18,2;3404;2,19;1470;5,85;1452;5,92;
Israel;Japan;9;8967;18,2;705;0,45;1470;0,61;359;2,51;
Israel;Jordan;9;8967;18,2;864;0,56;1470;0,61;438;2,05;
Israel;Kenya;19;8967;18,2;1637;1,05;1470;1,29;818;2,32;
Israel;Korea;3;8967;18,2;127;0,08;1470;0,2;59;5,08;
Israel;Kosovo;4;8967;18,2;10;0,01;1470;0,27;4;100;
Israel;Kyrgyzstan;5;8967;18,2;1521;0,98;1470;0,34;821;0,61;
Israel;Latvia;15;8967;18,2;655;0,42;1470;1,02;255;5,88;
Israel;Lebanon;3;8967;18,2;1029;0,66;1470;0,2;544;0,55;
Israel;Lithuania;23;8967;18,2;1867;1,2;1470;1,56;958;2,4;
Israel;Luxembourg;1;8967;18,2;25;0,02;1470;0,07;9;11,11;
Israel;Madagascar;2;8967;18,2;63;0,04;1470;0,14;34;5,88;
Israel;Malaysia;19;8967;18,2;3160;2,03;1470;1,29;1760;1,08;
Israel;Malta;21;8967;18,2;393;0,25;1470;1,43;190;11,05;
Israel;Martinique ;1;8967;18,2;6;0;1470;0,07;5;20;
Israel;Mauritius;1;8967;18,2;223;0,14;1470;0,07;113;0,88;
Israel;Mexico;64;8967;18,2;3465;2,23;1470;4,35;1732;3,7;
Israel;Moldova;35;8967;18,2;3146;2,02;1470;2,38;1541;2,27;
Israel;Mongolia;3;8967;18,2;331;0,21;1470;0,2;169;1,78;
Israel;Morocco;10;8967;18,2;1112;0,72;1470;0,68;517;1,93;
Israel;Nepal;8;8967;18,2;1861;1,2;1470;0,54;1018;0,79;
Israel;Netherlands;57;8967;18,2;3487;2,24;1470;3,88;1579;3,61;
Israel;New Zealand;15;8967;18,2;1482;0,95;1470;1,02;827;1,81;
Israel;Nicaragua;5;8967;18,2;33;0,02;1470;0,34;10;50;
Israel;Nigeria;18;8967;18,2;909;0,58;1470;1,22;444;4,05;
Israel;Northern Mariana Islands;1;8967;18,2;10;0,01;1470;0,07;3;33,33;
Israel;Norway;22;8967;18,2;779;0,5;1470;1,5;348;6,32;
Israel;Pakistan;830;8967;18,2;72899;46,88;1470;56,46;36757;2,26;
Israel;Palestine;3;8967;18,2;206;0,13;1470;0,2;104;2,88;
Israel;Peru;7;8967;18,2;919;0,59;1470;0,48;498;1,41;
Israel;Philippines;138;8967;18,2;13478;8,67;1470;9,39;203;67,98;
Israel;Poland;110;8967;18,2;7145;4,59;1470;7,48;335;32,84;
Israel;Portugal;57;8967;18,2;2963;1,91;1470;3,88;1682;3,39;
Israel;Puerto Rico;1;8967;18,2;56;0,04;1470;0,07;31;3,23;
Israel;Qatar;2;8967;18,2;374;0,24;1470;0,14;257;0,78;
Israel;Romania;1011;8967;18,2;92390;59,41;1470;68,78;48482;2,09;
Israel;Russian Federation;338;8967;18,2;28357;18,24;1470;22,99;14718;2,3;
Israel;Saudi Arabia;11;8967;18,2;645;0,41;1470;0,75;335;3,28;
Israel;Serbia;157;8967;18,2;10957;7,05;1470;10,68;5747;2,73;
Israel;Serbia + Montenegro (old);2;8967;18,2;699;0,45;1470;0,14;393;0,51;
Israel;Singapore;16;8967;18,2;2154;1,39;1470;1,09;1182;1,35;
Israel;Slovakia;11;8967;18,2;631;0,41;1470;0,75;306;3,59;
Israel;Slovenia;9;8967;18,2;630;0,41;1470;0,61;332;2,71;
Israel;South Africa;38;8967;18,2;2355;1,51;1470;2,59;1027;3,7;
Israel;Spain;51;8967;18,2;4028;2,59;1470;3,47;1948;2,62;
Israel;Sri Lanka;66;8967;18,2;6306;4,06;1470;4,49;2884;2,29;
Israel;Swaziland;1;8967;18,2;18;0,01;1470;0,07;9;11,11;
Israel;Sweden;51;8967;18,2;3060;1,97;1470;3,47;1468;3,47;
Israel;Switzerland;8;8967;18,2;736;0,47;1470;0,54;333;2,4;
Israel;Syrian Arab Republic;2;8967;18,2;360;0,23;1470;0,14;137;1,46;
Israel;Thailand;11;8967;18,2;1454;0,94;1470;0,75;717;1,53;
Israel;Trinidad and Tobago;3;8967;18,2;43;0,03;1470;0,2;17;17,65;
Israel;Tunisia;29;8967;18,2;1968;1,27;1470;1,97;825;3,52;
Israel;Turkey;82;8967;18,2;4827;3,1;1470;5,58;2421;3,39;
Israel;Ukraine;518;8967;18,2;27775;17,86;1470;35,24;13875;3,73;
Israel;United Arab Emirates;15;8967;18,2;2335;1,5;1470;1,02;1226;1,22;
Israel;United Kingdom;411;8967;18,2;29927;19,25;1470;27,96;14558;2,82;
Israel;United States;1014;8967;18,2;105420;67,79;1470;68,98;64074;1,58;
Israel;Uruguay;25;8967;18,2;1500;0,96;1470;1,7;923;2,71;
Israel;Uzbekistan;5;8967;18,2;393;0,25;1470;0,34;208;2,4;
Israel;Venezuela;4;8967;18,2;613;0,39;1470;0,27;382;1,05;
Israel;Vietnam;134;8967;18,2;9827;6,32;1470;9,12;4529;2,96;
Israel;Virgin Islands (British);1;8967;18,2;11;0,01;1470;0,07;4;25;
Israel;Virgin Islands (U.S.);2;8967;18,2;15;0,01;1470;0,14;6;33,33;
Israel;Zambia;2;8967;18,2;12;0,01;1470;0,14;2;100;
Italy;;4;6330;12,9;0;0;969;0,41;1262;0,32;
Italy;Albania ;1;6330;12,9;68;0,04;969;0,1;37;2,7;
Italy;Algeria;1;6330;12,9;202;0,13;969;0,1;89;1,12;
Italy;Argentina;215;6330;12,9;12720;8,18;969;22,19;6839;3,14;
Italy;Armenia;16;6330;12,9;1985;1,28;969;1,65;1066;1,5;
Italy;Australia;43;6330;12,9;9761;6,28;969;4,44;5051;0,85;
Italy;Austria;3;6330;12,9;602;0,39;969;0,31;279;1,08;
Italy;Azerbaijan;8;6330;12,9;823;0,53;969;0,83;493;1,62;
Italy;Bangladesh;105;6330;12,9;17468;11,23;969;10,84;8416;1,25;
Italy;Belarus ;49;6330;12,9;3044;1,96;969;5,06;1391;3,52;
Italy;Belgium ;18;6330;12,9;1653;1,06;969;1,86;853;2,11;
Italy;Bolivia;4;6330;12,9;134;0,09;969;0,41;55;7,27;
Italy;Bosnia and Herzegowina;16;6330;12,9;1563;1,01;969;1,65;800;2;
Italy;Brazil;53;6330;12,9;4834;3,11;969;5,47;2612;2,03;
Italy;Bulgaria;96;6330;12,9;9387;6,04;969;9,91;4695;2,04;
Italy;Cambodia ;2;6330;12,9;189;0,12;969;0,21;91;2,2;
Italy;Canada;128;6330;12,9;25485;16,39;969;13,21;14440;0,89;
Italy;Chile;6;6330;12,9;493;0,32;969;0,62;293;2,05;
Italy;China;60;6330;12,9;7801;5,02;969;6,19;3871;1,55;
Italy;Croatia;15;6330;12,9;2778;1,79;969;1,55;1364;1,1;
Italy;Cyprus;3;6330;12,9;441;0,28;969;0,31;291;1,03;
Italy;Czech Republic;23;6330;12,9;1181;0,76;969;2,37;692;3,32;
Italy;Denmark;11;6330;12,9;702;0,45;969;1,14;329;3,34;
Italy;Dominican Republic;7;6330;12,9;752;0,48;969;0,72;412;1,7;
Italy;East Timor;2;6330;12,9;6;0;969;0,21;2;100;
Italy;Ecuador;4;6330;12,9;790;0,51;969;0,41;459;0,87;
Italy;Egypt;153;6330;12,9;17182;11,05;969;15,79;8809;1,74;
Italy;El Salvador;4;6330;12,9;260;0,17;969;0,41;155;2,58;
Italy;Estonia;1;6330;12,9;800;0,51;969;0,1;438;0,23;
Italy;Ethiopia;2;6330;12,9;84;0,05;969;0,21;48;4,17;
Italy;Fiji;14;6330;12,9;228;0,15;969;1,44;94;14,89;
Italy;Finland;11;6330;12,9;808;0,52;969;1,14;318;3,46;
Italy;Former Yugoslav Republic Of Macedonia;6;6330;12,9;1198;0,77;969;0,62;624;0,96;
Italy;France;38;6330;12,9;3513;2,26;969;3,92;1084;3,51;
Italy;Georgia;4;6330;12,9;503;0,32;969;0,41;3;133,33;
Italy;Germany ;120;6330;12,9;7974;5,13;969;12,38;3700;3,24;
Italy;Ghana;1;6330;12,9;95;0,06;969;0,1;53;1,89;
Italy;Greece;16;6330;12,9;1848;1,19;969;1,65;844;1,9;
Italy;Hong Kong;1;6330;12,9;671;0,43;969;0,1;418;0,24;
Italy;Hungary;35;6330;12,9;1694;1,09;969;3,61;775;4,52;
Italy;India;969;6330;12,9;155501;100;969;100;80388;1,21;
Italy;Indonesia;60;6330;12,9;7742;4,98;969;6,19;4116;1,46;
Italy;Ireland;6;6330;12,9;925;0,59;969;0,62;477;1,26;
Italy;Israel;24;6330;12,9;3125;2,01;969;2,48;1688;1,42;
Italy;Italy;118;6330;12,9;3404;2,19;969;12,18;1452;8,13;
Italy;Jamaica;5;6330;12,9;233;0,15;969;0,52;107;4,67;
Italy;Japan;10;6330;12,9;705;0,45;969;1,03;359;2,79;
Italy;Jordan;4;6330;12,9;864;0,56;969;0,41;438;0,91;
Italy;Kazakhstan;2;6330;12,9;253;0,16;969;0,21;147;1,36;
Italy;Kenya;5;6330;12,9;1637;1,05;969;0,52;818;0,61;
Italy;Korea;4;6330;12,9;127;0,08;969;0,41;59;6,78;
Italy;Kuwait;2;6330;12,9;45;0,03;969;0,21;15;13,33;
Italy;Kyrgyzstan;21;6330;12,9;1521;0,98;969;2,17;821;2,56;
Italy;Latvia;6;6330;12,9;655;0,42;969;0,62;255;2,35;
Italy;Lebanon;7;6330;12,9;1029;0,66;969;0,72;544;1,29;
Italy;Lithuania;21;6330;12,9;1867;1,2;969;2,17;958;2,19;
Italy;Madagascar;4;6330;12,9;63;0,04;969;0,41;34;11,76;
Italy;Malaysia;11;6330;12,9;3160;2,03;969;1,14;1760;0,63;
Italy;Malta;3;6330;12,9;393;0,25;969;0,31;190;1,58;
Italy;Mauritius;4;6330;12,9;223;0,14;969;0,41;113;3,54;
Italy;Mexico;21;6330;12,9;3465;2,23;969;2,17;1732;1,21;
Italy;Moldova;103;6330;12,9;3146;2,02;969;10,63;1541;6,68;
Italy;Mongolia;2;6330;12,9;331;0,21;969;0,21;169;1,18;
Italy;Morocco;11;6330;12,9;1112;0,72;969;1,14;517;2,13;
Italy;Myanmar;1;6330;12,9;118;0,08;969;0,1;56;1,79;
Italy;Nepal;6;6330;12,9;1861;1,2;969;0,62;1018;0,59;
Italy;Netherlands;57;6330;12,9;3487;2,24;969;5,88;1579;3,61;
Italy;New Zealand;8;6330;12,9;1482;0,95;969;0,83;774;1,03;
Italy;Nigeria;1;6330;12,9;909;0,58;969;0,1;458;0,22;
Italy;Norway;6;6330;12,9;779;0,5;969;0,62;348;1,72;
Italy;Oman;1;6330;12,9;306;0,2;969;0,1;125;0,8;
Italy;Pakistan;508;6330;12,9;72899;46,88;969;52,43;36757;1,38;
Italy;Palestine;1;6330;12,9;206;0,13;969;0,1;104;0,96;
Italy;Peru;9;6330;12,9;919;0,59;969;0,93;498;1,81;
Italy;Philippines;82;6330;12,9;13478;8,67;969;8,46;7059;1,16;
Italy;Poland;133;6330;12,9;7145;4,59;969;13,73;3520;3,78;
Italy;Portugal;42;6330;12,9;2963;1,91;969;4,33;1682;2,5;
Italy;Qatar;5;6330;12,9;374;0,24;969;0,52;257;1,95;
Italy;Romania;734;6330;12,9;92390;59,41;969;75,75;48482;1,51;
Italy;Russian Federation;366;6330;12,9;28357;18,24;969;37,77;14718;2,49;
Italy;Saint Lucia;1;6330;12,9;44;0,03;969;0,1;25;4;
